Age:,Housing,Food,Transport,Clothing,Health,Ed,Misc.,Total
0,2990,1160,1170,640,630,2040,420,9050
1,2990,1160,1170,640,630,2040,420,9050
2,2990,1260,1230,500,590,1910,620,9100
3,2990,1260,1230,500,590,1910,620,9100
4,2990,1260,1230,500,590,1910,620,9100
5,2990,1260,1230,500,590,1910,620,9100
6,2990,1710,1350,570,660,1290,630,9200
7,2990,1710,1350,570,660,1290,630,9200
8,2990,1710,1350,570,660,1290,630,9200
9,2990,1970,1350,580,710,1910,630,10140
10,2990,1970,1350,580,710,1910,630,10140
11,2990,1970,1350,580,710,1910,630,10140
12,2990,2130,1480,690,1090,1110,700,10190
13,2990,2130,1480,690,1090,1110,700,10190
14,2990,2130,1480,690,1090,1110,700,10190
15,2990,2120,1630,730,1010,1290,589,10359
16,2990,2120,1630,730,1010,1290,589,10359
17,2990,2120,1630,730,1010,1290,589,10359
18,2990,2120,1630,730,1010,1290,589,10359
19,2990,2120,1630,730,1010,1290,589,10359
20,2990,2120,1630,730,1010,1290,589,10359
21,2990,2120,1630,730,1010,1290,589,10359
22,2990,2120,1630,730,1010,1290,589,10359
23,2990,2120,1630,730,1010,1290,589,10359
24,2990,2120,1630,730,1010,1290,589,10359
25,2990,2120,1630,730,1010,1290,589,10359
